rank,name
1,清华大学
2,北京大学
3,浙江大学
4,上海交通大学
5,复旦大学
6,南京大学
7,中国科学技术大学
8,武汉大学
9,华中科技大学
10,西安交通大学
11,北京航空航天大学
12,哈尔滨工业大学
13,中山大学
14,北京理工大学
15,东南大学
16,四川大学
17,中国人民大学
18,同济大学
19,北京师范大学
20,天津大学
21,南开大学
22,山东大学
23,西北工业大学
24,中国农业大学
25,厦门大学
26,吉林大学
27,中南大学
28,大连理工大学
29,华东师范大学
30,南方科技大学
31,湖南大学
32,华南理工大学
33,电子科技大学
34,重庆大学
35,北京科技大学
36,南京理工大学
37,南京航空航天大学
38,东北大学
39,西安电子科技大学
40,兰州大学
41,北京交通大学
42,华东理工大学
43,哈尔滨工程大学
44,郑州大学
45,华中农业大学
46,苏州大学
47,上海科技大学
48,东北师范大学
49,西南交通大学
50,北京邮电大学
51,中国海洋大学
52,江南大学
53,华中师范大学
54,武汉理工大学
55,南京农业大学
56,中国地质大学（武汉）
57,北京化工大学
58,南京师范大学
59,暨南大学
60,上海大学
61,西南大学
62,中国石油大学（北京）
63,河海大学
63,陕西师范大学
65,北京工业大学
66,深圳大学
67,中国矿业大学
68,浙江工业大学
69,西北农林科技大学
70,西北大学
71,云南大学
72,东华大学
73,中国石油大学（华东）
74,南昌大学
75,中国地质大学（北京）
76,中国矿业大学（北京）
77,福州大学
78,宁波大学
79,华南师范大学
80,合肥工业大学
81,江苏大学
82,南京邮电大学
83,北京林业大学
84,华北电力大学
85,贵州大学
86,广西大学
87,海南大学
88,南京工业大学
89,长安大学
90,福建师范大学
91,浙江师范大学
92,湖南师范大学
93,南京林业大学
93,扬州大学
95,河南大学
96,广东工业大学
97,太原理工大学
98,南京信息工程大学
99,杭州电子科技大学
100,首都师范大学
101,安徽大学
102,山西大学
103,华南农业大学
104,山东师范大学
105,广州大学
106,上海理工大学
107,河北工业大学
108,青岛大学
109,燕山大学
110,昆明理工大学
111,西安理工大学
112,浙江理工大学
113,大连海事大学
114,内蒙古大学
115,东北林业大学
116,杭州师范大学
117,湘潭大学
118,西安建筑科技大学
119,西南石油大学
120,东北农业大学
121,湖北大学
122,福建农林大学
123,上海师范大学
123,武汉科技大学
125,辽宁大学
126,江西师范大学
127,成都理工大学
128,山东农业大学
129,温州大学
130,河北大学
131,新疆大学
132,陕西科技大学
133,天津工业大学
134,四川农业大学
135,长沙理工大学
135,石河子大学
137,宁夏大学
138,长春理工大学
139,华侨大学
140,山东科技大学
141,江苏科技大学
142,上海海洋大学
143,安徽农业大学
144,中北大学
145,安徽师范大学
145,河南农业大学
147,重庆邮电大学
147,南通大学
149,广西师范大学
149,浙江农林大学
151,齐鲁工业大学
151,中国计量大学
153,沈阳农业大学
154,西北师范大学
155,黑龙江大学
156,集美大学
157,延边大学
158,天津科技大学
159,武汉纺织大学
160,天津师范大学
161,吉林农业大学
162,湖北工业大学
162,辽宁师范大学
164,曲阜师范大学
165,常州大学
166,湖南农业大学
167,青岛科技大学
168,河南师范大学
169,武汉工程大学
170,天津理工大学
171,上海海事大学
172,江苏师范大学
173,汕头大学
174,三峡大学
175,济南大学
176,河南科技大学
177,河北师范大学
178,北京建筑大学
179,沈阳航空航天大学
180,安徽理工大学
181,南昌航空大学
182,北京信息科技大学
183,桂林电子科技大学
184,长江大学
185,国际关系学院
186,西安科技大学
187,青岛理工大学
188,上海电力大学
189,河北农业大学
189,湖南科技大学
191,重庆交通大学
192,兰州交通大学
193,安徽工业大学
194,河南理工大学
194,华东交通大学
196,西安邮电大学
197,山东理工大学
198,南华大学
198,沈阳工业大学
198,云南师范大学
201,西藏大学
202,江西理工大学
203,青海大学
204,兰州理工大学
205,西南科技大学
206,西安工业大学
207,江西农业大学
208,东北电力大学
209,四川师范大学
210,河南工业大学
211,大连工业大学
212,内蒙古农业大学
213,东北石油大学
214,哈尔滨理工大学
215,重庆师范大学
216,嘉兴大学
217,苏州科技大学
